------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0456 3D00 F82E 10
custom name,6-P-B1
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),130
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
16/02/2024 12:00,28
16/02/2024 13:30,28
16/02/2024 15:00,28.1
16/02/2024 16:30,28.8
16/02/2024 18:00,32
16/02/2024 19:30,42.4
16/02/2024 21:00,42.6
16/02/2024 22:30,30
17/02/2024 00:00,29
17/02/2024 01:30,28.8
17/02/2024 03:00,28.8
17/02/2024 04:30,28.5
17/02/2024 06:00,28
17/02/2024 07:30,27
17/02/2024 09:00,26.8
17/02/2024 10:30,26.5
17/02/2024 12:00,27.6
17/02/2024 13:30,27.6
17/02/2024 15:00,27.7
17/02/2024 16:30,27.9
17/02/2024 18:00,28.2
17/02/2024 19:30,27.5
17/02/2024 21:00,26.7
17/02/2024 22:30,26.9
18/02/2024 00:00,27.6
18/02/2024 01:30,27.6
18/02/2024 03:00,27.6
18/02/2024 04:30,27.6
18/02/2024 06:00,27.6
18/02/2024 07:30,27.1
18/02/2024 09:00,25.8
18/02/2024 10:30,25.5
18/02/2024 12:00,26.1
18/02/2024 13:30,27.4
18/02/2024 15:00,27.7
18/02/2024 16:30,27.7
18/02/2024 18:00,27.8
18/02/2024 19:30,28
18/02/2024 21:00,28
18/02/2024 22:30,27.7
19/02/2024 00:00,27.4
19/02/2024 01:30,27.4
19/02/2024 03:00,27.4
19/02/2024 04:30,27.3
19/02/2024 06:00,27.3
19/02/2024 07:30,27.2
19/02/2024 09:00,26.1
19/02/2024 10:30,25.1
19/02/2024 12:00,24.7
19/02/2024 13:30,26.1
19/02/2024 15:00,27.2
19/02/2024 16:30,27.5
19/02/2024 18:00,27.9
19/02/2024 19:30,28.1
19/02/2024 21:00,28.2
19/02/2024 22:30,27.6
20/02/2024 00:00,26.5
20/02/2024 01:30,26.9
20/02/2024 03:00,27.4
20/02/2024 04:30,27.2
20/02/2024 06:00,27.2
20/02/2024 07:30,27.1
20/02/2024 09:00,27.1
20/02/2024 10:30,25.7
20/02/2024 12:00,25.1
20/02/2024 13:30,26
20/02/2024 15:00,27
20/02/2024 16:30,27.8
20/02/2024 18:00,27.9
20/02/2024 19:30,27.7
20/02/2024 21:00,27.8
20/02/2024 22:30,27.9
21/02/2024 00:00,27
21/02/2024 01:30,26.1
21/02/2024 03:00,27
21/02/2024 04:30,27.2
21/02/2024 06:00,27.3
21/02/2024 07:30,27.2
21/02/2024 09:00,27.2
21/02/2024 10:30,27.1
21/02/2024 12:00,25.8
21/02/2024 13:30,26.1
21/02/2024 15:00,27.8
21/02/2024 16:30,27.9
21/02/2024 18:00,28.7
21/02/2024 19:30,29.1
21/02/2024 21:00,29.4
21/02/2024 22:30,29.3
22/02/2024 00:00,28.5
22/02/2024 01:30,27
22/02/2024 03:00,26
22/02/2024 04:30,28.1
22/02/2024 06:00,28
22/02/2024 07:30,27.9
22/02/2024 09:00,27.8
22/02/2024 10:30,27.5
22/02/2024 12:00,26.3
22/02/2024 13:30,27.9
22/02/2024 15:00,35.1
22/02/2024 16:30,31.6
22/02/2024 18:00,29.7
22/02/2024 19:30,29.8
22/02/2024 21:00,29.7
22/02/2024 22:30,29.3
23/02/2024 00:00,28.9
23/02/2024 01:30,26.9
23/02/2024 03:00,26.2
23/02/2024 04:30,27.4
23/02/2024 06:00,28.3
23/02/2024 07:30,28.3
23/02/2024 09:00,28.1
23/02/2024 10:30,27.7
23/02/2024 12:00,27.4
23/02/2024 13:30,27.3
23/02/2024 15:00,36.3
23/02/2024 16:30,43.9
23/02/2024 18:00,30.1
23/02/2024 19:30,29.9
23/02/2024 21:00,29.7
23/02/2024 22:30,29.1
24/02/2024 00:00,28.6
24/02/2024 01:30,27
24/02/2024 03:00,26.2
24/02/2024 04:30,25.4
24/02/2024 06:00,27.5
24/02/2024 07:30,27.3
24/02/2024 09:00,27.1
24/02/2024 10:30,26.9
24/02/2024 12:00,26.9
24/02/2024 13:30,27.2
24/02/2024 15:00,35.5
24/02/2024 16:30,43.4
24/02/2024 18:00,30.1
24/02/2024 19:30,29.3
24/02/2024 21:00,29.3
24/02/2024 22:30,28.9
25/02/2024 00:00,28.3
25/02/2024 01:30,27.1
25/02/2024 03:00,25.5
25/02/2024 04:30,24.7
25/02/2024 06:00,26.8
25/02/2024 07:30,27.5
25/02/2024 09:00,27.5
25/02/2024 10:30,27.5
25/02/2024 12:00,27.5
25/02/2024 13:30,28
25/02/2024 15:00,34.2
25/02/2024 16:30,42.8
25/02/2024 18:00,44.4
25/02/2024 19:30,30.1
25/02/2024 21:00,29.9
25/02/2024 22:30,29.5
26/02/2024 00:00,28.8
26/02/2024 01:30,28.3
26/02/2024 03:00,25.5
26/02/2024 04:30,24.9
26/02/2024 06:00,24.6
26/02/2024 07:30,27.9
26/02/2024 09:00,28
26/02/2024 10:30,27.9
26/02/2024 12:00,27.7
26/02/2024 13:30,27.6
26/02/2024 15:00,33.3
26/02/2024 16:30,41.6
26/02/2024 18:00,47.2
26/02/2024 19:30,29.9
26/02/2024 21:00,29.6
26/02/2024 22:30,29.3
27/02/2024 00:00,28.6
27/02/2024 01:30,28.1
27/02/2024 03:00,25.4
27/02/2024 04:30,24.6
27/02/2024 06:00,24.1
27/02/2024 07:30,27.3
27/02/2024 09:00,27.5
27/02/2024 10:30,27.4
27/02/2024 12:00,27.4
27/02/2024 13:30,27.5
27/02/2024 15:00,31
27/02/2024 16:30,40.9
27/02/2024 18:00,45
27/02/2024 19:30,29.9
27/02/2024 21:00,29.1
27/02/2024 22:30,28.6
28/02/2024 00:00,28.1
28/02/2024 01:30,27.6
28/02/2024 03:00,26.4
28/02/2024 04:30,24.6
28/02/2024 06:00,24.1
28/02/2024 07:30,26.5
28/02/2024 09:00,27.2
28/02/2024 10:30,27.2
28/02/2024 12:00,27.2
28/02/2024 13:30,27.3
28/02/2024 15:00,29
28/02/2024 16:30,38.3
28/02/2024 18:00,44.5
28/02/2024 19:30,31.9
28/02/2024 21:00,29.3
28/02/2024 22:30,28.9
29/02/2024 00:00,28.4
29/02/2024 01:30,27.8
29/02/2024 03:00,27.4
29/02/2024 04:30,24.9
29/02/2024 06:00,24
29/02/2024 07:30,23.8
29/02/2024 09:00,27.2
29/02/2024 10:30,27.4
29/02/2024 12:00,27.3
29/02/2024 13:30,27.3
29/02/2024 15:00,28
29/02/2024 16:30,37.1
29/02/2024 18:00,44.1
29/02/2024 19:30,45.2
29/02/2024 21:00,29.6
29/02/2024 22:30,28.8
01/03/2024 00:00,28.2
01/03/2024 01:30,27.9
01/03/2024 03:00,27.6
01/03/2024 04:30,24.9
01/03/2024 06:00,23.6
01/03/2024 07:30,22.9
01/03/2024 09:00,26.7
01/03/2024 10:30,27
01/03/2024 12:00,26.8
01/03/2024 13:30,27
01/03/2024 15:00,27.6
01/03/2024 16:30,30.4
01/03/2024 18:00,41.9
01/03/2024 19:30,44.9
01/03/2024 21:00,29.5
01/03/2024 22:30,28.8
02/03/2024 00:00,28.3
02/03/2024 01:30,28
02/03/2024 03:00,27.8
02/03/2024 04:30,27.1
02/03/2024 06:00,23.9
02/03/2024 07:30,22.9
02/03/2024 09:00,23.9
02/03/2024 10:30,27.1
02/03/2024 12:00,27.2
02/03/2024 13:30,27
02/03/2024 15:00,27.5
02/03/2024 16:30,28.6
02/03/2024 18:00,33.3
02/03/2024 19:30,41.9
02/03/2024 21:00,30.2
02/03/2024 22:30,29
03/03/2024 00:00,28.5
03/03/2024 01:30,28.2
03/03/2024 03:00,28
03/03/2024 04:30,27.9
03/03/2024 06:00,25.2
03/03/2024 07:30,23.6
03/03/2024 09:00,22.6
03/03/2024 10:30,26.7
03/03/2024 12:00,26.3
03/03/2024 13:30,26.4
